id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
1585,,BDF,"29,51,74,8",,
1586,,AME,"72,66,65,75",,
1587,,A335F,"89,62,43,26",,
1588,,CM1,"76,32,27,1",,
1589,,AMI,"89,60,44,25",,
1590,,FRM,"42,85,82,67",,
1591,,CAL,"76,67,11,1",,
1592,,FRV,"60,27,1,0",,
1593,,TPL,"37,94,85,59",,
1594,,SDA,"47,10,100,0",,
1595,,BNK,"2,49,76,0",,
1596,,AHJ,"90,55,20,2",,
1597,,CNF,"88,25,100,12",,
1598,,AMA,"56,9,2,0",,
1599,,CHK,"44,89,71,66",,
1600,,TRR,"41,40,59,7",,
1601,,DIL,"83,42,3,0",,
1602,,FRK,"29,38,71,4",,
1603,,WRN,"60,20,14,0",,
1604,,A360F,"71,0,100,0",,
1605,,CRY,"90,74,2,0",,
1606,,STS,"62,25,0,0",,
1607,,PRR,"22,97,80,13",,
1608,,ORC,"89,32,100,23",,
1609,,HLS,"0,72,49,0",,
1610,,LAC,"80,36,49,11",,
1611,,HCK,"33,89,80,40",,
1612,,MND,"51,15,11,0",,
1613,,PRL,"62,20,100,4",,
1614,,LOW,"46,43,45,7",,
1615,,HDV,"81,44,53,22",,
1616,,POM,"81,44,53,22",,
1617,,WCS,"78,56,0,0",,
1618,,NRO,"91,43,54,22",,
1619,,HOL,"85,39,63,23",,
1620,,BDW,"92,57,25,6",,
1621,,DRV,"92,57,25,6",,
1622,,PPL,"85,51,21,2",,
1623,,CVH,"73,5,53,0",,
1624,,MRL,"0,75,100,0",,
1625,,KEE,"31,100,98,44",,
1626,,ARP,"100,91,37,38",,
1627,,HOO,"84,78,47,48",,
1628,,KED,"7,66,100,0",,
1629,,RUT,"90,76,49,51",,
1631,,WYH,"76,49,13,0",,
1632,,OHT,"1,75,87,0",,
1633,,UPH,"11,99,96,2",,
1634,,BBA,"11,99,96,2",,
1635,,SBY,"96,66,23,6",,
1636,,BSV,"87,71,10,1",,
1637,,ANT,"92,57,25,6",,
1638,,SLK,"97,88,8,1",,
1639,,GNC,"89,34,100,26",,
1640,,RGR,"69,13,0,0",,
1641,,PIR,"57,22,24,0",,
1642,,VCC,"56,66,71,62",,
1643,,WSK,"49,65,68,43",,
1644,,DAY,"57,22,24,0",,
1645,,ANN,"62,23,63,3",,
1646,,MAI,"87,32,49,9",,
1647,,PRS,"100,93,39,39",,
1648,,BHS,"22,97,88,13",,
1649,,JKP,"14,27,39,0",,
1650,,VHC,"68,64,51,36",,
1651,,RIN,"64,49,31,5",,
1652,,GUD,"70,7,31,0",,
1653,,CAC,"94,70,37,22",,
1654,,BDY,"60,7,100,0",,
1655,,WIL,"76,64,39,21",,
1656,,RND,"91,49,48,22",,
1657,,BCR,"100,82,41,36",,
1658,,HBV,"25,100,96,21",,
1659,,CND,"50,80,57,51",,
1660,,INR,"87,38,87,35",,
1661,,NWD,"30,97,73,29",,
1662,,LEA,"100,91,34,25",,
1663,,OPT,"66,45,100,39",,
1664,,LKY,"71,56,80,76",,
1665,,NRI,"85,30,49,7",,
1666,,LES,"24,58,93,8",,
1667,,ABT,"84,28,68,11",,
1668,,CSV,"87,73,31,15",,
1669,,CNA,"27,41,89,5",,
1670,,INC,"73,33,10,0",,
1671,,OCE,"51,14,13,0",,
1672,,EEV,"84,100,23,12",,
1673,,BAT,"25,100,92,24",,
1674,,A364F,"55,47,46,11",,
1675,,CPS,"53,7,33,0",,
1676,,A336F,"71,20,1,0",,
1677,,A337F,"27,100,100,30",,
1678,,A338F,"84,24,53,4",,
1679,,A339F,"83,49,80,58",,
1680,,ACZ,"56,78,51,43",,
1681,,A340F,"92,67,40,24",,
1682,,A341F,"76,42,2,0",,
1683,,A342F,"56,64,62,45",,
1684,,AVI,"75,68,67,90",,
1685,,A343F,"0,47,100,0",,
1686,,FMN,"5,89,78,0",,
1687,,A363F,"15,94,87,4",,
1688,,A344F,"89,75,34,20",,
1689,,A345F,"42,80,71,57",,
1690,,SCT,"71,28,16,0",,
1691,,GUL,"36,20,60,0",,
1692,,FFD,"51,1,100,0",,
1693,,VCG,"80,59,0,0",,
1694,,A346F,"81,38,4,0",,
1695,,BON,"33,13,100,0",,
1696,,TIC,"87,76,0,0",,
1697,,NBV,"64,38,97,23",,
1698,,WMR,"87,48,69,46",,
1699,,HFP,"71,37,78,24",,
1700,,ASP,"63,29,36,2",,
1701,,A347F,"4,97,68,0",,
1702,,A348F,"67,46,70,33",,
1703,,HPA,"42,86,79,66",,
1704,,UBN,"47,0,99,0",,
1705,,A349F,"5,62,94,0",,
1706,,WDC,"74,24,0,0",,
1707,,FVH,"24,46,1,0",,
1708,,A350F,"100,89,34,24",,
1709,,OMV,"33,100,61,32",,
1710,,A351F,"73,38,100,29",,
1711,,A352F,"72,28,0,0",,
1712,,A353F,"45,83,0,0",,
1713,,A354F,"49,32,86,9",,
1714,,MNU,"57,22,24,0",,
1715,,A362F,"100,77,42,35",,
1716,,VAT,"100,77,42,35",,
1717,,VET,"71,9,3,0",,
1718,,VFR,"71,9,3,0",,
1719,,VHU,"71,9,3,0",,
1720,,VKC,"71,9,3,0",,
1723,,A355F,"0,73,97,0",,
1724,,LXI,"70,29,0,0",,
1725,,CHY,"88,44,42,13",,
1726,,A356F,"14,69,100,2",,
1727,,BRI,"58,29,100,9",,
1728,,CVL,"72,15,32,0",,
1729,,ACG,"62,85,35,20",,
1730,,BCL,"76,37,48,11",,
1731,,CNL,"59,89,0,0",,
1732,,CDA,"10,99,99,2",,
1733,,SPL,"82,80,44,41",,
1734,,EAH,"89,35,100,30",,
1735,,FIN,"87,75,0,0",,
1736,,MSV,"30,96,76,31",,
1737,,KVC,"84,60,18,2",,
1738,,DGW,"81,32,100,20",,
1739,,POH,"100,0,100,0",,
1740,,A245D,"84,44,58,25",,
1741,,A416D,"21,37,100,1",,
1742,,A198D,"99,86,5,0",,
1743,,A394D,"9,22,41,0",,
1744,,A262D,"100,82,41,36",,
1745,,A259D,"37,90,91,60",,
1746,,A268D,"76,33,25,1",,
1747,,A271D,"97,91,0,0",,
1748,,A234D,"73,67,63,74",,
1749,,A206D,"100,98,7,1",,
1750,,A387D,"58,10,25,0",,
1751,,A393D,"57,31,32,1",,
1752,,A342D,"21,85,76,9",,
1753,,A205D,"73,1,31,0",,
1754,,A258D,"100,78,16,3",,
1755,,A213D,"75,68,67,90",,
1756,,A386D,"60,7,100,0",,
1757,,A261D,"68,63,54,41",,
1758,,A270D,"100,86,29,16",,
1759,,A388D,"49,18,84,1",,
1760,,A369D,"80,22,34,1",,
1761,,A344D,"35,60,80,25",,
1762,,A380D,"13,90,70,2",,
1763,,A219D,"13,90,70,2",,
1764,,A392D,"53,79,47,34",,
1765,,A390D,"64,56,56,33",,
1766,,A264D,"92,62,0,0",,
1767,,A389D,"22,96,77,13",,
1768,,A254D,"76,67,55,51",,
1769,,A233D,"93,62,39,21",,
1770,,A418D,"90,79,0,0",,
1771,,A186D,"87,41,86,42",,
1772,,A221D,"42,21,24,0",,
1773,,A240D,"89,64,2,0",,
1774,,A239D,"93,59,24,5",,
1775,,A241D,"78,38,0,0",,
1776,,A495A,"30,8,17,0",,
1777,,A520A,"100,82,41,36",,
1778,,A447A,"72,35,0,0",,
1779,,A557A,"43,29,100,5",,
1780,,A558A,"87,50,4,0",,
1781,,A442A,"75,68,67,90",,
1782,,A455A,"90,78,0,0",,
1783,,A424A,"98,70,22,6",,
1784,,A526A,"78,58,19,2",,
1785,,A522A,"99,96,4,0",,
1786,,A418A,"11,100,100,2",,
1787,,A524A,"46,92,54,50",,
1788,,A449A,"39,22,9,0",,
1789,,A454A,"8,99,87,1",,
1790,,A569A,"63,46,8,0",,
1791,,A431A,"100,93,18,5",,
1792,,A574A,"70,43,71,30",,
1793,,A420A,"30,91,92,35",,
1794,,A476A,"4,76,99,0",,
1795,,A428A,"100,99,32,24",,
1796,,A433A,"76,11,30,0",,
1797,,A594A,"100,98,7,1",,
1798,,A482A,"90,48,54,28",,
1799,,A537A,"36,87,54,24",,
1800,,A478A,"35,94,73,49",,
1801,,A602A,"87,58,56,44",,
1802,,A556A,"90,62,28,9",,
1803,,A582A,"63,10,1,0",,
1804,,A501A,"100,87,24,10",,
1805,,A578A,"0,0,0,100",,
1806,,A547A,"28,100,99,30",,
1807,,A503A,"75,53,36,12",,
1808,,A492A,"83,73,53,58",,
1809,,A491A,"63,21,50,2",,
1810,,A496A,"78,67,24,6",,
1811,,A494A,"0,98,98,0",,
1812,,A538A,"4,99,97,0",,
1813,,A517A,"86,27,71,11",,
1814,,A580A,"100,97,38,36",,
1815,,A549A,"93,58,35,14",,
1816,,A446A,"96,75,2,0",,
1817,,A439A,"46,100,39,22",,
1818,,A500A,"5,100,99,0",,
1819,,A467A,"97,71,13,2",,
1820,,A475A,"13,2,0,0",,
1821,,A593A,"82,20,42,1",,
1822,,A584A,"0,68,92,0",,
1823,,A498A,"42,83,73,62",,
1824,,A587A,"87,78,0,0",,
1825,,A521A,"91,56,50,31",,
1826,,A427A,"89,78,49,53",,
1827,,A575A,"100,88,37,35",,
1828,,A481A,"0,0,0,90",,
1829,,A596A,"83,66,2,0",,
1830,,A432A,"76,51,24,3",,
1831,,A470A,"0,51,89,0",,
1832,,A480A,"50,45,84,24",,
1833,,A426A,"29,100,100,38",,
1834,,A565A,"84,15,80,2",,
1835,,A435A,"53,21,100,3",,
1836,,A583A,"100,90,35,26",,
1837,,A567A,"43,13,24,0",,
1838,,A562A,"60,36,58,12",,
1839,,A553A,"11,96,100,3",,
1840,,A523A,"63,2,100,0",,
1841,,A464A,"100,95,27,15",,
1842,,A551C,"98,93,25,12",,
1843,,A419A,"98,93,25,12",,
1844,,A429A,"98,93,25,12",,
1845,,A425A,"98,93,25,12",,
1846,,A497A,"100,91,36,35",,
1847,,A540A,"88,42,42,12",,
1848,,A573A,"45,51,96,26",,
1849,,A577A,"62,74,66,81",,
1850,,A445A,"88,54,0,0",,
1851,,A570A,"41,13,22,0",,
1852,,A588A,"84,35,32,3",,
1853,,A421A,"100,96,14,3",,
1854,,A434A,"71,29,0,0",,
1855,,A511A,"31,6,16,0",,
1856,,A440A,"71,49,86,53",,
1857,,A458A,"15,100,98,5",,
1858,,A560A,"0,79,62,0",,
1859,,A485A,"64,17,16,0",,
1860,,A460A,"81,28,40,3",,
1861,,A471A,"90,85,39,33",,
1862,,A423A,"80,51,87,66",,
1863,,A422A,"25,100,100,28",,
1864,,A555A,"64,2,0,0",,
1865,,A499A,"100,82,41,36",,
1866,,A525A,"44,4,89,0",,
1867,,A539A,"23,100,95,17",,
1868,,A552A,"38,13,11,0",,
1869,,A443A,"35,96,91,53",,
1870,,A438A,"100,97,40,50",,
1871,,A568A,"84,27,38,2",,
1872,,A504A,"73,32,51,8",,
1873,,A456A,"91,54,53,32",,
1874,,A585A,"44,0,20,0",,
1875,,A444A,"28,100,100,35",,
1876,,A554A,"29,26,31,0",,
1877,,A581A,"100,99,23,10",,
1878,,A469A,"0,50,100,0",,
1879,,A472A,"65,56,56,32",,
1880,,A597A,"87,71,54,59",,
1881,,A477A,"60,62,61,44",,
1882,,A509A,"30,100,98,41",,
1883,,A514A,"66,96,0,0",,
1884,,A546A,"19,13,4,0",,
1885,,A510A,"47,86,71,70",,
1886,,A430A,"46,5,9,0",,
1887,,A451A,"70,52,0,0",,
1888,,A576A,"100,80,33,20",,
1889,,A468A,"66,3,24,0",,
1890,,A493A,"83,14,87,2",,
1891,,A450A,"18,87,60,4",,
1892,,A489A,"84,78,46,46",,
1893,,A459A,"7,13,100,0",,
1894,,A590A,"16,19,69,0",,
1895,,A487A,"28,34,58,1",,
1896,,A572A,"75,28,100,14",,
1897,,A564A,"92,55,27,7",,
1898,,A579A,"29,53,64,7",,
1899,,A530A,"20,13,5,0",,
1900,,A559A,"85,50,0,0",,
1901,,A483A,"65,51,41,13",,
1902,,A513A,"82,85,52,71",,
1903,,A528A,"96,74,0,0",,
1904,,A589A,"100,98,34,28",,
1905,,A550A,"91,95,39,43",,
1906,,A598A,"45,82,68,63",,
1907,,A436A,"75,33,38,4",,
1908,,A452A,"5,99,98,0",,
1909,,A486A,"0,0,0,80",,
1910,,A542A,"60,7,100,0",,
1911,,A599A,"77,49,41,14",,
1912,,A548A,"12,100,72,2",,
1913,,A453A,"6,38,87,0",,
1914,,A970D,"37,33,85,5",,
1915,,A958D,"19,7,3,0",,
1916,,A128E,"78,70,64,87",,
1917,,A331E,"43,7,17,0",,
1918,,A111E,"22,100,100,17",,
1919,,A885D,"100,83,16,3",,
1920,,A890D,"0,100,100,0",,
1921,,A832D,"94,78,2,0",,
1922,,A289E,"1,99,98,0",,
1923,,A312E,"32,76,93,32",,
1924,,A207E,"87,61,0,0",,
1925,,A763D,"7,92,76,0",,
1926,,A087E,"34,98,92,54",,
1927,,A146E,"90,68,26,9",,
1928,,A116E,"100,82,41,36",,
1929,,A262E,"34,0,7,0",,
1930,,A852D,"49,61,71,40",,
1931,,A015E,"74,57,49,28",,
1932,,A957D,"8,99,96,1",,
1933,,A824D,"94,68,8,1",,
1934,,A222E,"14,100,13,0",,
1935,,A276E,"12,86,72,2",,
1936,,A227E,"9,99,96,1",,
1937,,A051E,"56,47,62,23",,
1938,,A121E,"2,64,100,0",,
1939,,A205E,"75,67,66,87",,
1940,,A877D,"30,100,100,41",,
1941,,A290E,"59,0,100,0",,
1942,,A145E,"67,99,10,1",,
1943,,A210E,"65,28,28,1",,
1944,,A031E,"100,89,38,33",,
1945,,A219E,"59,12,77,0",,
1946,,A818D,"70,14,0,0",,
1947,,A281E,"88,26,87,13",,
1948,,A766D,"70,0,31,0",,
1949,,A333E,"98,73,27,10",,
1950,,A841D,"1,50,99,0",,
1951,,A988D,"100,88,34,25",,
1952,,A225E,"33,100,100,49",,
1953,,A246E,"62,9,33,0",,
1954,,A314E,"100,80,34,22",,
1955,,A240E,"100,83,27,13",,
1956,,A794D,"34,86,88,45",,
1957,,A757D,"72,11,5,0",,
1958,,A083E,"0,92,99,0",,
1959,,A789D,"61,28,67,7",,
1960,,A976D,"25,98,80,23",,
1961,,A084E,"58,0,36,0",,
1962,,A127E,"43,0,27,0",,
1963,,A029E,"64,32,15,0",,
1964,,A254E,"24,53,100,7",,
1965,,A099E,"100,87,33,23",,
1966,,A980D,"13,100,100,4",,
1967,,A933D,"100,75,38,27",,
1968,,A032E,"34,20,62,0",,
1969,,A242E,"38,31,32,0",,
1970,,A296E,"15,100,90,10",,
1971,,A053E,"4,58,100,0",,
1972,,A229E,"78,60,0,0",,
1973,,A772D,"52,60,68,41",,
1974,,A152E,"4,0,93,0",,
1975,,A795D,"69,63,62,58",,
1976,,A007E,"75,49,44,16",,
1977,,A009E,"0,0,0,90",,
1978,,A086E,"3,66,99,0",,
1979,,A827D,"87,54,24,4",,
1980,,A014E,"89,47,23,3",,
1981,,A744D,"100,77,27,11",,
1982,,A163E,"24,100,100,23",,
1983,,A275E,"76,16,16,0",,
1984,,A872D,"91,89,32,22",,
1985,,A344E,"71,36,14,0",,
1986,,A886D,"54,66,77,64",,
1987,,A816D,"87,32,49,9",,
1988,,A214E,"0,79,58,0",,
1989,,A873D,"98,34,0,73",,
1990,,A105E,"63,5,100,0",,
1991,,A337E,"88,26,87,13",,
1992,,A788D,"81,40,3,0",,
1993,,A953D,"67,20,9,0",,
1994,,A059E,"60,25,66,5",,
1995,,A241E,"84,42,0,0",,
1996,,A853D,"0,62,100,0",,
1997,,A826D,"94,85,6,0",,
1998,,A967D,"60,90,0,0",,
1999,,A756D,"4,100,83,0",,
2000,,A126E,"59,55,2,0",,
2001,,A964D,"38,0,77,0",,
2002,,A137E,"25,100,100,25",,
2003,,A989D,"100,99,32,24",,
2004,,A965D,"0,69,99,0",,
2005,,A144E,"44,7,38,0",,
2006,,A767D,"41,25,16,0",,
2007,,A334E,"76,32,3,0",,
2008,,A975D,"30,50,75,10",,
2009,,A150E,"40,81,71,51",,
2010,,A768D,"0,0,0,90",,
2011,,A288E,"4,87,54,0",,
2012,,A011E,"76,25,77,9",,
2013,,A201E,"93,60,7,0",,
2014,,A200E,"94,78,1,0",,
2015,,A773D,"14,7,9,0",,
2016,,A090E,"80,31,10,0",,
2017,,A784D,"100,95,18,13",,
2018,,A815D,"100,34,0,73",,
2019,,A285E,"100,89,4,0",,
2020,,A867D,"79,27,53,6",,
2021,,A862D,"60,5,29,0",,
2022,,A006E,"12,93,86,2",,
2023,,A251E,"91,65,57,56",,
2024,,A235E,"62,36,1,0",,
2025,,A966D,"11,65,81,1",,
2026,,A851D,"85,67,55,56",,
2027,,A856D,"20,97,100,10",,
2028,,A771D,"64,35,92,20",,
2029,,A798D,"71,55,0,0",,
2030,,A960D,"53,17,87,1",,
2031,,A809D,"0,45,87,0",,
2032,,A821D,"44,68,13,0",,
2033,,A204E,"85,69,0,0",,
2034,,A996D,"74,12,47,0",,
2035,,A749D,"85,58,5,0",,
2036,,A806D,"60,90,0,0",,
2037,,A234E,"47,34,60,7",,
2038,,A859D,"100,100,31,23",,
2039,,A209E,"92,68,33,16",,
2040,,A129E,"100,82,41,36",,
2041,,A801D,"100,84,30,15",,
2042,,A861D,"33,93,82,47",,
2043,,A860D,"23,15,40,0",,
2044,,A263E,"100,85,24,9",,
2045,,A164E,"0,49,90,0",,
2046,,A012E,"0,49,90,0",,
2047,,A036E,"69,63,62,59",,
2048,,A955D,"68,27,100,11",,
2049,,A974D,"98,84,46,51",,
2050,,A858D,"88,24,100,10",,
2051,,A248F,"71,16,0,0",,
2052,,A078E,"71,16,0,0",,
2053,,A247F,"71,16,0,0",,
2054,,A249F,"71,16,0,0",,
2055,,A977D,"73,30,26,1",,
2056,,A973D,"73,24,93,8",,
2057,,A843D,"24,100,100,22",,
2058,,A755D,"100,89,34,25",,
2059,,A936D,"69,18,78,2",,
2060,,A206E,"72,50,75,48",,
2061,,A199E,"71,16,0,0",,
2062,,A098E,"71,64,54,43",,
2063,,A814D,"100,82,40,34",,
2064,,A817D,"64,36,72,17",,
2065,,A231E,"74,0,93,0",,
2066,,A249E,"58,30,100,10",,
2067,,A039E,"55,11,24,0",,
2068,,A774D,"93,67,56,58",,
2069,,A800D,"55,14,27,0",,
2070,,A874D,"85,58,6,0",,
2071,,A038E,"78,10,46,0",,
2072,,A793D,"58,62,86,66",,
2073,,A259E,"33,92,64,32",,
2074,,A037E,"80,36,97,27",,
2075,,A159E,"80,65,53,45",,
2076,,A857D,"100,82,40,34",,
2077,,A244E,"75,64,56,49",,
2078,,A760D,"61,54,93,54",,
2079,,A863D,"19,100,100,11",,
2080,,A869D,"85,50,0,0",,
2081,,A865D,"22,100,91,13",,
2082,,A028E,"75,0,100,0",,
2083,,A969D,"65,0,21,0",,
2084,,A879D,"80,49,84,61",,
2085,,A243E,"69,0,100,0",,
2086,,A866D,"87,37,100,35",,
2087,,A759D,"80,46,74,44",,
2088,,A820D,"0,18,100,0",,
2089,,A819D,"100,79,13,2",,
2090,ZBI,A252E,"14,100,97,4",,
2091,,A198E,"54,46,45,11",,
2092,,A250E,"79,48,26,4",,
2093,,A963D,"46,85,76,71",,
2094,,A949D,"100,82,41,36",,
2095,,A902D,"66,57,55,32",,
2096,,A881D,"77,20,13,0",,
2097,,A256E,"29,100,100,38",,
2098,,A778D,"87,35,58,15",,
2099,,A776D,"55,51,2,0",,
2100,,A125E,"3,87,71,0",,
2101,,A133E,"99,87,10,1",,
2102,,A258E,"72,33,100,20",,
2103,,A937D,"69,33,0,0",,
2104,,A983D,"89,64,25,7",,
2105,,A952D,"43,71,62,33",,
2106,,A840D,"100,96,33,25",,
2107,,A884D,"77,7,40,0",,
2108,,A811D,"85,41,100,43",,
2109,,A044E,"79,33,44,6",,
2110,,A088E,"30,100,100,42",,
2111,,A265E,"53,71,78,72",,
2112,,A993D,"85,50,0,0",,
2113,,A005E,"50,65,75,56",,
2114,,A808D,"49,28,26,0",,
2115,,A992D,"100,83,28,13",,
2116,,A823D,"90,65,11,1",,
2117,,A891D,"51,32,33,1",,
2118,,A316E,"100,82,40,34",,
2119,,A080E,"53,21,100,3",,
2120,,A812D,"100,82,40,34",,
2121,,A319E,"100,84,30,15",,
2122,,A938D,"0,75,1,0",,
2123,,A193E,"100,78,19,5",,
2124,,A274E,"67,60,59,45",,
2125,,A909D,"93,84,0,0",,
2126,,A880D,"53,59,64,35",,
2127,,A982D,"59,69,73,76",,
2128,,A260E,"100,77,17,4",,
2129,,A013E,"100,100,26,36",,
2130,,A948D,"56,47,62,23",,
2131,,A785D,"84,66,38,21",,
2132,,A101E,"70,15,0,0",,
2133,,A908D,"75,0,75,0",,
2134,,A297E,"91,62,11,1",,
2135,,A154E,"74,14,13,0",,
2136,,A797D,"86,17,100,5",,
2137,,A134E,"10,69,100,1",,
2138,,A282E,"15,100,100,5",,
2139,,A079E,"0,0,0,90",,
2140,,A043E,"85,43,3,0",,
2141,,A870D,"78,72,49,44",,
2142,,A277E,"30,100,92,38",,
2143,,A919D,"98,79,17,4",,
2144,,A925D,"98,78,16,3",,
2145,,A758D,"98,72,25,8",,
2146,,A211E,"100,87,17,4",,
2147,,A339E,"0,100,100,0",,
2148,,A764D,"11,100,88,2",,
2149,,A923D,"44,45,69,16",,
2150,,A280E,"100,82,41,36",,
2151,,A932D,"16,98,99,6",,
2152,,A224E,"8,98,100,1",,
2153,,A147E,"13,35,100,0",,
2154,,A143E,"100,82,41,36",,
2155,,A786D,"29,100,98,35",,
2156,,A100E,"0,99,97,0",,
2157,,A822D,"78,33,29,2",,
2158,,A796D,"17,100,100,9",,
2159,,A287E,"1,87,87,0",,
2160,,A155E,"97,99,7,1",,
2161,,A828D,"73,61,0,0",,
2162,,A255E,"18,91,100,8",,
2163,,A232E,"51,66,90,63",,
2164,,A968D,"30,100,95,38",,
2165,,A931D,"90,74,2,0",,
2166,,A161E,"88,53,0,0",,
2167,,A321E,"69,63,62,59",,
2168,,A212E,"23,54,94,6",,
2169,,A972D,"60,40,33,3",,
2170,,A813D,"37,5,95,0",,
2171,,A085E,"0,0,0,90",,
2172,,A765D,"100,85,38,31",,
2173,,A987D,"81,50,42,16",,
2174,,A986D,"24,100,100,25",,
2175,,A061E,"92,67,1,0",,
2176,,A062E,"32,97,95,46",,
2177,,A291E,"17,100,100,9",,
2178,,A257E,"85,36,58,16",,
2179,,A753D,"100,96,17,6",,
2180,,A213E,"98,88,0,0",,
2181,,A836D,"29,100,100,41",,
2182,,A878D,"0,73,99,0",,
2183,,A904D,"82,47,11,0",,
2184,,A120E,"35,80,91,44",,
2185,,A156E,"25,33,69,1",,
2186,,A158E,"100,78,5,0",,
2187,,A783D,"0,0,0,100",,
2188,,A947D,"80,11,100,1",,
2189,,A194E,"26,100,56,12",,
2190,,A770D,"79,16,48,1",,
2191,,A790D,"100,93,35,29",,
2192,,A110E,"76,33,27,1",,
2193,,A060E,"9,12,89,0",,
2194,,A876D,"34,84,59,24",,
2195,,A839D,"68,1,83,0",,
2196,,A900D,"100,94,30,21",,
2197,,A892D,"0,49,98,0",,
2198,,A761D,"14,44,93,0",,
2199,,A769D,"69,24,100,7",,
2200,,A746D,"0,59,100,0",,
2201,,A284E,"4,44,99,0",,
2202,,A132E,"69,0,100,0",,
2203,,A313E,"100,82,41,36",,
2204,,A844D,"88,58,64,60",,
2205,,A336E,"90,53,41,18",,
2206,,A056E,"9,63,100,0",,
2207,,A825D,"70,100,29,17",,
2208,,A304E,"46,89,0,0",,
2209,,A779D,"49,91,0,0",,
2210,,A220E,"85,76,43,35",,
2211,,A286E,"53,31,65,8",,
2212,,A934D,"86,47,0,0",,
2213,,A883D,"25,96,84,20",,
2214,,A226E,"78,1,100,0",,
2215,,A991D,"100,82,40,34",,
2216,,A464E,"88,26,87,13",,
2217,,A279E,"91,68,32,17",,
2218,,A245E,"78,62,0,0",,
2219,,A140E,"60,44,91,31",,
2220,,A864D,"76,55,31,8",,
2221,,A141E,"0,98,94,0",,
2222,,A850D,"49,58,66,32",,
2223,,A782D,"88,29,87,17",,
2224,,A106E,"37,45,57,8",,
2225,,A293E,"61,0,20,0",,
2226,,A160E,"100,96,32,38",,
2227,,A280D,"84,59,66,66",,
2228,,A182D,"65,15,42,0",,
2229,,A278D,"0,77,100,0",,
2230,,A275D,"44,77,50,27",,
2231,,A289D,"2,100,100,1",,
2232,,A284D,"96,93,2,0",,
2233,,A355D,"74,5,31,0",,
2234,,A398D,"43,13,25,0",,
2235,,A276D,"40,45,49,6",,
2236,,A356D,"0,96,28,0",,
2237,,A181D,"71,11,46,0",,
2238,,A279D,"1,98,94,0",,
2239,,A274D,"15,66,85,3",,
2240,,A208D,"76,24,58,4",,
2241,,A199D,"88,69,0,0",,
2242,,A400D,"70,0,100,0",,
2243,,A282D,"27,39,49,1",,
2244,,A370D,"86,56,13,1",,
2245,,A357D,"63,7,54,0",,
2246,,A402D,"100,87,43,47",,
2247,,A215D,"95,59,36,15",,
2248,,A372D,"97,94,26,13",,
2249,,A273D,"11,12,18,0",,
2250,,A179E,"100,95,0,0",,
2251,,A847D,"49,31,25,0",,
2252,,A831D,"31,62,100,19",,
2253,,A848D,"83,6,96,0",,
2254,,A192E,"47,32,81,17",,
2255,,A190E,"76,32,27,1",,
2256,,A181E,"58,29,100,9",,
2257,,A216E,"4,100,83,0",,
2258,,A172E,"58,29,100,9",,
2259,,A167E,"91,56,11,0",,
2260,,A189E,"12,65,45,0",,
2261,,A170E,"86,31,49,8",,
2262,,A217E,"90,67,22,5",,
2263,,A191E,"58,75,67,83",,
2264,,A176E,"87,38,72,29",,
2265,,A180E,"65,44,0,0",,
2266,,A218E,"1,97,99,0",,
2267,,A330E,"87,52,0,0",,
2268,,A329E,"26,96,87,24",,
2269,,A328E,"33,13,100,0",,
2270,,A345E,"58,35,0,0",,
2271,,A237E,"67,18,3,0",,
2272,,A177E,"15,100,100,5",,
2273,,A269E,"2,99,57,0",,
2274,,A174E,"22,90,73,11",,
2275,,A166E,"89,78,37,26",,
2276,,A327E,"9,38,95,0",,
2277,,A830D,"60,51,51,20",,
2278,,A169E,"75,56,15,1",,
2279,,A238E,"24,87,80,15",,
2280,,A171E,"11,98,99,2",,
2281,,A175E,"3,26,57,0",,
2282,,A236E,"64,0,24,0",,
2283,,A834D,"94,85,5,0",,
2284,,A268E,"85,40,15,0",,
2285,,A329D,"83,36,8,0",,
2286,,A334D,"100,95,33,22",,
2287,,A171D,"57,11,98,1",,
2288,,A328D,"80,41,0,0",,
2289,,A376D,"79,12,98,1",,
2290,,A410D,"79,55,27,6",,
2291,,A375D,"95,82,51,65",,
2292,,A204D,"27,38,86,4",,
2293,,A190D,"58,16,89,1",,
2294,,A364D,"100,94,30,21",,
2295,,A330D,"75,68,67,90",,
2296,,A327D,"65,100,9,0",,
2297,,A952B,"48,59,70,36",,
2298,,A979B,"64,33,0,0",,
2299,,A067C,"20,4,51,0",,
2300,,A072C,"58,11,27,0",,
2301,,A949B,"17,96,91,6",,
2302,,A078C,"78,47,0,0",,
2303,,A976B,"20,69,100,7",,
2304,,A959B,"55,9,6,0",,
2305,,A978B,"60,0,37,0",,
2306,,A109C,"35,60,80,25",,
2307,,A021C,"53,21,100,3",,
2308,,A943B,"87,44,21,1",,
2309,,A086C,"88,84,29,16",,
2310,,A982B,"42,16,3,0",,
2311,,A003C,"11,65,100,1",,
2312,,A075C,"7,100,90,43",,
2313,,A955B,"76,12,100,1",,
2314,,A994B,"70,67,64,74",,
2315,,A060C,"0,64,100,0",,
2316,,A938B,"64,17,100,2",,
2317,,A969B,"87,75,0,0",,
2318,,A014C,"100,90,22,9",,
2319,,A962B,"67,3,25,0",,
2320,,A986B,"23,91,100,17",,
2321,,A044C,"0,99,100,0",,
2322,,A050C,"71,67,64,75",,
