id,pracab,pracabbrev,praccolor,rgbcolor,hexcolor
3813,BLF,BLF,"58,14,26,0",,
3814,SVH,SVH,"77,52,0,0",,
3815,NDV,NDV,"100,91,33,22",,
3816,PCH,PCH,"11,18,68,0",,
3817,DOC,DOC,"16,96,87,6",,
3818,RIV,RIV,"80,3,98,0",,
3819,CFD,CFD,"83,41,7,0",,
3820,FPH,FPH,"77,24,24,0",,
3821,MCP,MCP,"24,97,95,18",,
3822,ROU,ROU,"84,26,74,10",,
3823,LNS,LNS,"100,84,22,6",,
3824,CLE,CLE,"87,19,100,5",,
3825,PDR,PDR,"75,42,0,0",,
3826,MRH,MRH,"75,13,12,0",,
3827,LAM,LAM,"82,33,18,0",,
3828,PLM,PLM,"100,93,25,12",,
3829,ASH,ASH,"96,73,2,0",,
3830,SOK,SOK,"75,13,12,0",,
3831,CAT,CAT,"71,0,37,0",,
3832,ANH,ANH,"86,35,38,5",,
3833,CDR,CDR,"24,100,100,57",,
3834,CLM,CLM,"24,100,100,20",,
3835,ISL,ISL,"89,35,100,30",,
3836,CNS,CNS,"84,47,87,56",,
3838,VLL,VLL,"24,100,100,24",,
3841,NRT,NRT,"98,83,10,1",,
3842,LCN,LCN,"88,44,79,47",,
3843,SHE,SHE,"24,99,98,20",,
3845,MAC,MAC,"83,16,96,2",,
3846,CNV,CNV,"85,47,0,0",,
3848,,A449E,"66,58,57,37",,
3849,,A446E,"99,75,10,1",,
3850,,A412E,"33,27,27,0",,
3851,,A415E,"1,98,97,0",,
3852,,A450E,"31,97,80,39",,
3853,,A403E,"23,49,79,5",,
3854,,A429E,"81,71,41,28",,
3855,,A451E,"58,51,44,14",,
3856,,A428E,"36,96,75,54",,
3857,,A426E,"26,100,96,24",,
3858,,A457E,"48,40,40,4",,
3859,,A231F,"42,64,71,34",,
3860,,A404E,"88,34,100,27",,
3861,,A410E,"78,29,13,0",,
3862,,A452E,"30,50,75,10",,
3863,,A430E,"60,58,71,51",,
3864,,A804D,"93,56,35,13",,
3865,,A419E,"4,10,100,0",,
3866,,A416E,"100,83,7,0",,
3867,,A459E,"85,50,31,0",,
3868,,A413E,"53,0,22,0",,
3869,,A423E,"96,74,2,0",,
3870,,A425E,"75,67,66,87",,
3871,,A407E,"44,83,64,58",,
3872,,A424E,"79,1,93,0",,
3873,,A447E,"72,92,46,59",,
3874,,A460E,"3,99,89,0",,
3875,,A422E,"69,9,0,0",,
3876,,A401E,"100,100,32,26",,
3877,,A441E,"7,100,85,1",,
3878,,A418E,"12,71,44,0",,
3879,,A408E,"30,100,97,40",,
3880,,A432E,"100,82,15,3",,
3881,,A461E,"68,23,54,3",,
3882,,A409E,"76,3,49,0",,
3883,,A433E,"85,15,99,2",,
3884,,A417E,"52,94,21,4",,
3885,,A443E,"88,38,96,36",,
3886,,A420E,"70,65,62,65",,
3887,,A406E,"40,78,58,31",,
3888,,A411E,"34,66,100,28",,
3889,,A421E,"45,1,100,0",,
3890,,A435E,"0,93,99,0",,
3891,,A431E,"86,63,37,18",,
3892,,A442E,"85,33,40,5",,
3893,,A434E,"0,98,98,0",,
3894,,A402E,"88,76,0,0",,
3895,,A440E,"62,56,59,34",,
3898,,OSG,"24,100,100,25",,
3924,,A341A,"73,67,63,74",,
3926,,A209A,"75,42,64,25",,
3927,,A285A,"36,60,82,23",,
3929,,A331A,"82,59,0,0",,
3932,,A261A,"100,82,41,36",,
3936,,A255A,"53,27,100,6",,
3938,,A230A,"2,64,96,0",,
3939,,A197A,"2,64,96,0",,
3940,,A207A,"2,64,96,0",,
3962,,A318C,"100,77,22,6",,
3966,,A636B,"54,4,100,0",,
3968,,A236A,"40,72,2,0",,
4045,,A954D,"51,64,92,59",,
4082,,A751D,"20,100,98,11",,
4089,,A233E,"82,42,100,44",,
4099,,A264F,"86,42,100,46",,
4104,,A997D,"78,48,40,13",,
4106,,A310E,"24,5,13,0",,
4108,,A889D,"70,47,21,2",,
4109,,A138E,"0,65,100,0",,
4136,,A067E,"57,0,71,0",,
4163,,A098D,"34,0,18,0",,
4197,,A754D,"73,54,43,19",,
4215,,A203E,"12,93,72,2",,
4221,,A332E,"10,94,83,2",,
4243,,A905D,"0,0,0,90",,
4244,,A157E,"0,0,0,90",,
4255,,A338E,"90,58,3,0",,
4262,,A307E,"35,79,100,42",,
4286,,A752D,"79,37,0,0",,
4319,,A323E,"1,99,95,0",,
4359,,A004E,"99,83,2,0",,
4386,,A082E,"8,100,72,1",,
4405,,A068A,"69,47,40,11",,
4448,,A315E,"51,26,0,0",,
4450,,A196A,"100,89,20,6",,
4457,,A115F,"100,98,7,1",,
4458,,A095C,"82,51,28,6",,
4517,,A342E,"1,99,62,0",,
4531,,A743B,"84,62,0,0",,
4539,,A979D,"0,92,100,0",,
4547,,A039A,"85,30,95,20",,
4573,,A198C,"97,70,13,2",,
4631,,A750D,"28,100,100,32",,
4660,,A271E,"69,24,100,7",,
4672,,A901D,"75,34,99,22",,
4673,,A228E,"98,75,7,0",,
4679,,A600A,"63,19,67,2",,
4681,,A324E,"33,93,72,37",,
4692,,A735D,"73,11,81,1",,
4725,ZBJ,B001A,"60,60,23,3",,
4726,ZBK,B002A,"0,0,0,100",,
4727,ZBM,B003A,"87,65,9,1",,
4728,ZBN,B004A,"73,16,10,0",,
4729,ZBO,B005A,"73,26,100,11",,
4730,PTV,PTV,"13,96,100,4",,
4731,LRD,LRD,"76,55,9,0",,
